0,1,2,3,4,5,6
Santroller,tdengine,64.0,nan,nan,nan,False
Santroller,tdesktop,-3.0,nan,nan,nan,False
Santroller,tectonic,48.0,nan,nan,nan,False
Santroller,tensorflow,-3.0,nan,nan,nan,False
Santroller,tenzir,53.0,nan,nan,nan,False
Santroller,texstudio,7.0,nan,nan,nan,False
Santroller,thcrap,-3.0,nan,nan,nan,False
Santroller,tiledb,-3.0,nan,nan,nan,False
Santroller,tket,-3.0,nan,nan,nan,False
Santroller,toit,-3.0,nan,nan,nan,False
Santroller,torch-mlir,-3.0,nan,nan,nan,False
Santroller,treesheets,-1.0,nan,nan,nan,False
Santroller,tsmuxer,-3.0,nan,nan,nan,False
Santroller,twilightmenu,-3.0,nan,nan,nan,False
Santroller,ua3reo-ddc-transceiver,-3.0,nan,nan,nan,False
Santroller,ugrep,-3.0,nan,nan,nan,False
Santroller,uk-controller-plugin,-3.0,nan,nan,nan,False
Santroller,ultimate-nag52-fw,-3.0,nan,nan,nan,False
Santroller,umineko-scripting,1.0,nan,nan,nan,False
Santroller,unleashed-firmware,1.0,nan,nan,nan,False
Santroller,unrealmarketplaceplugin,-3.0,nan,nan,nan,False
Santroller,uwebsockets,-3.0,nan,nan,nan,False
Santroller,v6d,-3.0,nan,nan,nan,False
Santroller,verible,-3.0,nan,nan,nan,False
Santroller,voukoder,-2.0,nan,nan,nan,False
Santroller,vsearch,-3.0,nan,nan,nan,False
Santroller,vtm,-2.0,nan,nan,nan,False
Santroller,vulkan-hpp,-3.0,nan,nan,nan,False
Santroller,waifu2x-extension-gui,-3.0,nan,nan,nan,False
Santroller,wallet-core,-3.0,nan,nan,nan,False
Santroller,wangle,-3.0,nan,nan,nan,False
Santroller,watchman,-3.0,nan,nan,nan,False
Santroller,wazuh,27.0,nan,nan,nan,False
Santroller,wb-mqtt-serial,-3.0,nan,nan,nan,False
Santroller,windows-driver-samples,0.0,nan,nan,nan,False
Santroller,winmerge,-3.0,nan,nan,nan,False
Santroller,winmerge-v2-jp,2.0,nan,nan,nan,False
Santroller,wire-avs,19.0,nan,nan,nan,False
Santroller,xbmc,-3.0,nan,nan,nan,False
Santroller,xemu,2.0,nan,nan,nan,False
Santroller,xlights,-3.0,nan,nan,nan,False
Santroller,xmrig,-3.0,nan,nan,nan,False
Santroller,xrobot,-1.0,nan,nan,nan,False
Santroller,yuzu-mainline,-3.0,nan,nan,nan,False
Santroller,zephyr,37.0,nan,nan,nan,False
Santroller,zilliqa,-3.0,nan,nan,nan,False
Santroller,ziti-sdk-c,13.0,nan,nan,nan,False
Santroller,ziti-tunnel-sdk-c,29.0,nan,nan,nan,False
Santroller,zpl,9.0,nan,nan,nan,False
Santroller,zquestclassic,-3.0,nan,nan,nan,False
